keywords,city,Aggdata Store Number,store_number,address,state,zip_code,
Whole Foods,San Mateo,6716,6716 #6716,1010 Park Place,CA,94403,
Whole Foods,Sonoma,6717,6717 #6717,201 W.Napa St,CA,95476,
Whole Foods,San Francisco,6719,6719 #6719,399 4th Street,CA,94107,
Whole Foods,Philadelphia,6720,6720 #6720,929 South St,PA,19147,
Whole Foods,Tucson,6721,6721 #6721,3360 E. Speedway Blvd.,AZ,85716,
Whole Foods,Glen Allen,6722,6722 #6722,11173 West Broad Street,VA,23060,
Whole Foods,Springfield,6723,6723 #6723,8402 Old Keene Mill Rd,VA,22152,
Whole Foods,Mississauga,6724,6724 #6724,155 Square One Drive,ON,L5B 0E2,
Whole Foods,San Rafael,6725,6725 #6725,340 Third St,CA,94901,
Whole Foods,Santa Rosa,6726,6726 #6726,1181 Yulupa Ave,CA,95405,
Whole Foods,Silver Spring,6727,6727 #6727,833 Wayne Ave,MD,20910,
Whole Foods,Troy,6728,6728 #6728,2880 West Maple Rd,MI,48084,
Whole Foods,Cupertino,6729,6729 #6729,20955 Stevens Creek Blvd,CA,95014,
Whole Foods,Santa Fe,6730,6730 #6730,1090 S. Saint Francis Drive,NM,87505,
Whole Foods,San Francisco,6732,6732 #6732,690 Stanyan Street,CA,94117,
Whole Foods,St Paul,6733,6733 #6733,30 South Fairview Ave,MN,55105,
Whole Foods,Santa Cruz,6734,6734 #6734,911 Soquel Ave,CA,95062,
Whole Foods,Salt Lake City,6735,6735 #6735,1131 E. Wilmington Ave.,UT,84106,
Whole Foods,Superior,6736,6736 #6736,303 Marshall Rd.,CO,80027,
Whole Foods,Swampscott,6737,6737 #6737,331 Paradise Rd,MA,1907,
Whole Foods,Boston,6738,6738 #6738,15 Westland Ave,MA,2115,
Whole Foods,Hillsboro,6740,6740 #6740,19440 NW Cornell Rd,OR,97124,
Whole Foods,Tempe,6741,6741 #6741,5120 S. Rural Rd,AZ,85282,
Whole Foods,Washington,6742,6742 #6742,4530 40th St NW Tenley Circle,DC,20016,
Whole Foods,Torrance,6745,6745 #6745,2655 Pacific Coast Hwy,CA,90505,
Whole Foods,Tampa,6746,6746 #6746,1548 North Dale Mabry Highway.,FL,33607,
Whole Foods,New York,6747,6747 #6747,270 Greenwich Street,NY,10007,
Whole Foods,Tarzana,6748,6748 #6748,18700 Ventura Blvd,CA,91356,
Whole Foods,Salt Lake City,6749,6749 #6749,544 South 700 East,UT,84102,
Whole Foods,Las Vegas,6750,6750 #6750,7250 W. Lake Mead Blvd.,NV,89128,
Whole Foods,Falls Church,6751,6751 #6751,7511 Leesburg Pike,VA,22043,
Whole Foods,Providence,6752,6752 #6752,601 N Main St,RI,2904,
Whole Foods,New York,6753,6753 #6753,4 Union Square South,NY,10003,
