Keywords,city,store_number,Agg store_number,address,state,zip_code
Target,Fort Dodge,878,878 00000878 0000878,2910 1st Ave S,IA,50501-2972
Target,Lincoln,879,879 00000879 0000879,5330 S 56th St,NE,68516-1833
Target,Schaumburg,880,880 00000880 0000880,1235 E Higgins Rd,IL,60173-4939
Target,Indianapolis,881,881 00000881 0000881,6925 W 38th St,IN,46254-3905
Target,Lake Jackson,882,882 00000882 0000882,202 Highway 332 W,TX,77566-4013
Target,Baytown,887,887 00000887 0000887,4510 Garth Rd,TX,77521-2124
Target,Wood Dale,893,893 00000893 0000893,401 W Irving Park Rd,IL,60191-1338
Target,Joliet,894,894 00000894 0000894,2701 Plainfield Rd,IL,60435-1166
Target,Bourbonnais,895,895 00000895 0000895,1615 N State Route 50,IL,60914-9303
Target,Walled Lake,896,896 00000896 0000896,495 Haggerty Hwy,MI,48390-3936
Target,Oviedo,897,897 00000897 0000897,820 Oviedo Mall Blvd,FL,32765-9348
Target,Casselberry,898,898 00000898 0000898,4410 S Highway 17 92,FL,32707-3290
Target,Naples,899,899 00000899 0000899,2324 Pine Ridge Rd,FL,34109-2006
Target,Kalamazoo,901,901 00000901 0000901,5350 W Main St,MI,49009-3304
Target,Houston,907,907 00000907 0000907,19955 Katy Fwy,TX,77094-1019
Target,Phoenix,909,909 00000909 0000909,4734 E Ray Rd,AZ,85044-6225
Target,Beaverton,910,910 00000910 0000910,18101 NW Evergreen Pkwy,OR,97006-7439
Target,Snellville,917,917 00000917 0000917,1905 Scenic Hwy N,GA,30078-5633
Target,Matthews,918,918 00000918 0000918,1900 Matthews Township Pkwy,NC,28105-4660
Target,Spring Hill,919,919 00000919 0000919,4401 Commercial Way,FL,34606-1914
Target,Pembroke Pines,920,920 00000920 0000920,11253 Pines Blvd,FL,33026-4118
Target,Brighton,922,922 00000922 0000922,8043 Challis Rd,MI,48116-7446
Target,Woodhaven,923,923 00000923 0000923,23555 Allen Rd,MI,48183-3381
Target,Mount Pleasant,924,924 00000924 0000924,4097 E Blue Grass Rd,MI,48858-7997
Target,Moline,926,926 00000926 0000926,900 42nd Avenue Dr,IL,61265-6871
Target,Evanston,927,927 00000927 0000927,2209 Howard St,IL,60202-3636
Target,Niles,928,928 00000928 0000928,6150 W Touhy Ave,IL,60714-4621
Target,Saint Cloud,930,930 00000930 0000930,125 Lincoln Ave SE,MN,56304-0823
Target,Stillwater,931,931 00000931 0000931,2021 Market Dr,MN,55082-7546
Target,Flagstaff,935,935 00000935 0000935,1650 S Milton Rd,AZ,86001-0802
Target,Scottsdale,936,936 00000936 0000936,15444 N Frank Lloyd Wright Blvd,AZ,85260-2845
Target,Chicago,942,942 00000942 0000942,2656 N Elston Ave,IL,60647-2019
Target,Champaign,943,943 00000943 0000943,2102 N Prospect Ave,IL,61822-1231
Target,Chesterfield,945,945 00000945 0000945,51400 Gratiot Ave,MI,48051-2007
Target,Dallas,947,947 00000947 0000947,9440 Marsh Ln,TX,75220-4924
Target,Phoenix,950,950 00000950 0000950,4515 E Thomas Rd,AZ,85018-7614
Target,Farmington,952,952 00000952 0000952,4900 E Main St,NM,87402-8658
Target,Houston,955,955 00000955 0000955,4323 San Felipe St,TX,77027-3406
