Keywords,city,store_number,store_number,address,state,zip_code
Publix,Tamarac,242,242 #0242 #242,8245 NW 88th Ave,FL,33321-1541
Publix,Deerfield Beach,246,246 #0246 #246,1337 S Military Trl,FL,33442-7634
Publix,Daytona Beach,248,248 #0248 #248,3044 S Atlantic Ave,FL,32118-6102
Publix,Boynton Beach,250,250 #0250 #250,3775 W Woolbright Rd,FL,33436-7207
Publix,Davie,252,252 #0252 #252,8842 W State Road 84,FL,33324-4415
Publix,Inverness,255,255 #0255 #255,1420 Highway 41 N,FL,34450-2405
Publix,Ocala,257,257 #0257 #257,3101 SW 34th Ave,FL,34474-7447
Publix,Saint Petersburg,259,259 #0259 #259,5295 34th St S,FL,33711-4517
Publix,Cutler Bay,260,260 #0260 #260,18485 S Dixie Hwy,FL,33157-6817
Publix,Miami,261,261 #0261 #261,8250 Mills Dr,FL,33183-4805
Publix,Hialeah,262,262 #0262 #262,18496 NW 67th Ave,FL,33015-3440
Publix,Jacksonville,263,263 #0263 #263,7628 103rd St Ste 24,FL,32210-8719
Publix,Rockledge,264,264 #0264 #264,1880 S US Highway 1,FL,32955-2822
Publix,Punta Gorda,266,266 #0266 #266,2310 Tamiami Trl Unit 1129,FL,33950-5933
Publix,Dania Beach,267,267 #0267 #267,401 E Sheridan St,FL,33004-4603
Publix,Decatur,269,269 #0269 #269,3649 Flakes Mill Rd,GA,30034-5218
Publix,Tallahassee,273,273 #0273 #273,5810 N Monroe St Ste 200,FL,32303-7954
Publix,Orlando,274,274 #0274 #274,5350 Central Florida Pkwy,FL,32821-8772
Publix,Marco Island,275,275 #0275 #275,175 S Barfield Dr,FL,34145-5143
Publix,Orlando,276,276 #0276 #276,2435 S Hiawassee Rd,FL,32835-6346
Publix,West Delray Beach,279,279 #0279 #279,13860 Jog Rd,FL,33446-5902
Publix,Marietta,280,280 #0280 #280,1050 E Piedmont Rd Ste 130,GA,30062-4744
Publix,Atlanta,282,282 #0282 #282,2900 Peachtree Rd NW,GA,30305-4915
Publix,Vero Beach,284,284 #0284 #284,2040 58th Ave,FL,32966-4646
Publix,Sebastian,287,287 #0287 #287,13435 US Highway 1,FL,32958-3757
Publix,Cooper City,290,290 #0290 #290,5630 S Flamingo Rd,FL,33330-3236
Publix,Weston,291,291 #0291 #291,1170 Weston Rd,FL,33326-1915
Publix,Miami,293,293 #0293 #293,13735 SW 152nd St,FL,33177-1106
Publix,North Lauderdale,294,294 #0294 #294,1297 S State Road 7,FL,33068-4021
Publix,Titusville,298,298 #0298 #298,1923 Knox McRae Dr,FL,32780-5360
Publix,Tampa,300,300 #0300 #300,12026 Anderson Rd,FL,33625-5682
Publix,Altamonte Springs,301,301 #0301 #301,951 N State Road 434,FL,32714-7026
Publix,Tamarac,302,302 #0302 #302,5881 N University Dr,FL,33321-4618
Publix,Pembroke Pines,303,303 #0303 #303,170 S Flamingo Rd,FL,33027-1720
Publix,Daytona Beach,304,304 #0304 #304,1500 Beville Rd Ste 300,FL,32114-5644
Publix,Saint Petersburg,305,305 #0305 #305,5577 Park St N,FL,33709-6309
Publix,Gainesville,306,306 #0306 #306,1200 NW 76th Blvd,FL,32606-6750
Publix,Tampa,310,310 #0310 #310,3615 W Gandy Blvd,FL,33611-2607
Publix,Temple Terrace,311,311 #0311 #311,11502 N 53rd St,FL,33617-2245
Publix,Jupiter,313,313 #0313 #313,4060 S US Highway 1,FL,33477-1121
Publix,Lehigh Acres,314,314 #0314 #314,1324 Homestead Rd N,FL,33936-6016
Publix,Brandon,315,315 #0315 #315,855 E Bloomingdale Ave,FL,33511-8113
Publix,Coral Springs,317,317 #0317 #317,8160 Wiles Rd,FL,33067-2041
Publix,West Palm Beach,319,319 #0319 #319,831 Village Blvd,FL,33409-1901
Publix,Jacksonville,320,320 #0320 #320,2771 Monument Rd,FL,32225-5549
Publix,Fernandina Beach,322,322 #0322 #322,1421 Sadler Rd,FL,32034-4466
Publix,Boca Raton,324,324 #0324 #324,22973 State Road 7,FL,33428-5400
Publix,Miami,327,327 #0327 #327,13850 SW 8th St,FL,33184-3033
Publix,Cutler Bay,328,328 #0328 #328,20425 Old Cutler Rd,FL,33189-1833
Publix,Oviedo,329,329 #0329 #329,81 Alafaya Woods Blvd,FL,32765-6235
Publix,Naples,330,330 #0330 #330,4860 Davis Blvd,FL,34104-5337
Publix,Orlando,331,331 #0331 #331,4606 S Kirkman Rd,FL,32811-2891
Publix,Orlando,332,332 #0332 #332,10115 University Blvd,FL,32817-1904
Publix,Sarasota,333,333 #0333 #333,3428 Clark Rd,FL,34231-8406
Publix,New Smyrna Beach,335,335 #0335 #335,1930 State Road 44,FL,32168-8345
Publix,Saint Augustine,336,336 #0336 #336,1033 A1A Beach Blvd,FL,32080-6731
Publix,Stuart,337,337 #0337 #337,3304 SE Federal Hwy,FL,34997-4964
Publix,Boca Raton,339,339 #0339 #339,5050 Champion Blvd,FL,33496-4438
Publix,Port Saint Lucie,340,340 #0340 #340,9100 S US Highway 1,FL,34952-3406
Publix,Plantation,342,342 #0342 #342,10065 Cleary Blvd,FL,33324-1063
Publix,Hialeah,343,343 #0343 #343,2414 W 60th St,FL,33016-4418
Publix,Orlando,347,347 #0347 #347,7653 S Orange Blossom Trl,FL,32809-6903
Publix,Deerfield Beach,348,348 #0348 #348,3740 W Hillsboro Blvd,FL,33442-9411
Publix,Leesburg,349,349 #0349 #349,10601 US Highway 441 Ste D,FL,34788-7241
Publix,Orlando,350,350 #0350 #350,4048 S Semoran Blvd,FL,32822-4062
Publix,Kissimmee,351,351 #0351 #351,2915 Vineland Rd,FL,34746-5505
Publix,Lakeland,352,352 #0352 #352,3636 Harden Blvd,FL,33803-5938
Publix,Dunedin,353,353 #0353 #353,1491 Main St,FL,34698-4612
Publix,Lakeland,356,356 #0356 #356,4730 S Florida Ave,FL,33813-2181
Publix,Anderson,360,360 #0360 #360,1611 E Greenville St,SC,29621-2006
Publix,Sarasota,361,361 #0361 #361,5804 Bee Ridge Rd,FL,34233-5051
Publix,Royal Palm Beach,362,362 #0362 #362,1180 Royal Palm Beach Blvd,FL,33411-1671
Publix,Bonita Springs,365,365 #0365 #365,3306 Bonita Beach Rd,FL,34134-4174
Publix,Palm Beach Gardens,367,367 #0367 #367,9900 Alternate A1A,FL,33410-4903
Publix,Miramar,368,368 #0368 #368,9951 Miramar Pkwy,FL,33025-2397
Publix,Boca Raton,369,369 #0369 #369,7431 N Federal Hwy,FL,33487-1601
Publix,Orlando,370,370 #0370 #370,11955 E Colonial Dr,FL,32826-4725
Publix,West Palm Beach,371,371 #0371 #371,2895 N Military Trl,FL,33409-2900
Publix,Davie,372,372 #0372 #372,13700 W State Road 84,FL,33325-5302
Publix,Coral Springs,373,373 #0373 #373,1305 N University Dr,FL,33071-6622
Publix,Clearwater,374,374 #0374 #374,5000 E Bay Dr,FL,33764-5719
Publix,Miami,375,375 #0375 #375,1525 SW 107th Ave,FL,33174-2510
Publix,Key Largo,376,376 #0376 #376,101437 Overseas Hwy,FL,33037-4505
Publix,Saint Augustine,377,377 #0377 #377,4255 US Highway 1 S Ste 1,FL,32086-7000
Publix,Casselberry,379,379 #0379 #379,3385 S US Highway 17/92 Suite 181,FL,32707-2915
Publix,Fort Walton Beach,383,383 #0383 #383,421 Mary Esther Cut Off NW,FL,32548-4084
Publix,Venice,384,384 #0384 #384,4173 Tamiami Trl S,FL,34293-5111
Publix,Vero Beach,385,385 #0385 #385,810 S US Highway 1,FL,32962-4703
Publix,Clearwater,386,386 #0386 #386,1520 N McMullen Booth Rd,FL,33759-2594
Publix,Delray Beach,388,388 #0388 #388,7375 W Atlantic Ave,FL,33446-1304
Publix,Punta Gorda,391,391 #0391 #391,3941 Tamiami Trl Unit 3145,FL,33950-7927
Publix,Lakeland,392,392 #0392 #392,5375 N Socrum Loop Rd,FL,33809-4272
Publix,Jacksonville,393,393 #0393 #393,11250 St Augustine Rd Ste 4,FL,32257-1147
Publix,Wellington,394,394 #0394 #394,13880 Wellington Trce,FL,33414-8553
Publix,Saint Petersburg,395,395 #0395 #395,10496 Roosevelt Blvd N,FL,33716-3820
Publix,Southwest Ranches,396,396 #0396 #396,4901 Volunteer Rd,FL,33330-2400
Publix,Boynton Beach,397,397 #0397 #397,4966 Le Chalet Blvd,FL,33436-1406
Publix,Tampa,398,398 #0398 #398,15151 N Dale Mabry Hwy,FL,33618-1818
Publix,Tampa,399,399 #0399 #399,7018 W Waters Ave,FL,33634-2292
Publix,Englewood,400,400 #0400 #400,1500 Placida Rd Ste C,FL,34223-4951
Publix,Jupiter,401,401 #0401 #401,95 S US Highway 1,FL,33477-5117
Publix,Hallandale Beach,402,402 #0402 #402,1400 E Hallandale Beach Blvd,FL,33009-4617
Publix,Ocala,404,404 #0404 #404,2655 NE 35th St,FL,34479-3005
Publix,Ocoee,405,405 #0405 #405,8863 W Colonial Dr,FL,34761-6951
Publix,Coconut Creek,406,406 #0406 #406,6570 N State Road 7,FL,33073-3625
Publix,Sarasota,409,409 #0409 #409,8409 S Tamiami Trl,FL,34238-2937
Publix,Naples,410,410 #0410 #410,7101 Radio Rd,FL,34104-6706
Publix,Spring Hill,411,411 #0411 #411,160 Mariner Blvd,FL,34609-5689
Publix,Lake Worth,413,413 #0413 #413,9855 Lake Worth Rd,FL,33467-2305
Publix,Naples,414,414 #0414 #414,11200 Tamiami Trl N # 2200,FL,34110-1640
Publix,Palm Harbor,415,415 #0415 #415,33343 US Highway 19 N,FL,34684-3128
Publix,Bradenton,417,417 #0417 #417,6030 14th St W,FL,34207-4104
Publix,Cape Coral,418,418 #0418 #418,1616 Cape Coral Pkwy W # 5,FL,33914-6979
Publix,Ocala,419,419 #0419 #419,303 SE 17th St,FL,34471-4421
Publix,New Port Richey,420,420 #0420 #420,1346 Seven Springs Blvd,FL,34655-5636
Publix,Boca Raton,421,421 #0421 #421,9846 Glades Rd,FL,33434-3917
Publix,Orange City,422,422 #0422 #422,2556 Enterprise Rd Ste 100,FL,32763-7939
Publix,Port Saint Lucie,423,423 #0423 #423,1333 NW Saint Lucie West Blvd,FL,34986-2140
Publix,Palm Bay,424,424 #0424 #424,1150 Malabar Rd SE Ste 120,FL,32907-3239
Publix,Winter Haven,425,425 #0425 #425,1090 Spirit Lake Rd,FL,33880-1226
Publix,Fort Myers,426,426 #0426 #426,4600 Summerlin Rd,FL,33919-3005
Publix,Orlando,427,427 #0427 #427,3972 Town Center Blvd,FL,32837-6103
Publix,Boca Raton,428,428 #0428 #428,3003 Yamato Rd Ste C9,FL,33434-5355
Publix,Edgewater,429,429 #0429 #429,2970 S Ridgewood Ave,FL,32141-7527
Publix,Valdosta,430,430 #0430 #430,1741 Gornto Rd,GA,31601-8408
