row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
7113||||||||USAA.COM PAYMNT  |
7251||||||||KEYBANK CRDTCARD |
7259||||||||ard ending in 7547|
7270||||||||Dept. of Revenue |
7301||||||||SIDORENKO,EKATER |
7337||||||||JPMORGAN CHASE   |
7376||||||||American Express |
7383||||||||ard ending in 4865|
7421||||||||WF HOME MTG      |
7426||||||||CAINE & WEINER L |
7442||||||||BARCLAYCARD US   |
7444||||||||JPMORGAN CHASE   |
7484||||||||038626 Elm Creek |
7540||||||||DISCOVER         |
7548||||||||GEICO INSURANCE       |
7570||||||||WF HOME MTG      |
7579||||||||GREENWAY COUNCIL |
7601||||||||ATLANTIC CREDIT  |
7649||||||||JPMORGAN CHASE   |
7666||||||||CHASE            |
7680||||||||USAA SAV-INTRNT  |
7694||||||||HERITAGE OAKS BK |
7698||||||||Neiman Marcus    |
7709||||||||CHASE            |
7744||||||||HC Prop Tax      |
7748||||||||JPMORGAN CHASE   |
7776||||||||HEALTH CARE SERV |
7791||||||||American Express |
7812||||||||JPMORGAN CHASE        |
7828||||||||Bank of America  |
7851||||||||DYNEGY INC             |
7869||||||||JPMORGAN CHASE   |
7870||||||||Nationstar       |
7873||||||||FNM MCRS              |
7893||||||||ard ending in 6429|
7896||||||||Sarasota County  |
7912||||||||KUSWANTO,MICHELL |
7945||||||||ard ending in 9591|
7974||||||||CITI CARD ONLINE |
8029||||||||PAYCHEX INC.           |
8048||||||||VISA             |
8088||||||||Entergy Services |
8110||||||||WF HOME MTG      |
8115||||||||ard ending in 8667|
8139||||||||PROVIDENT FUNDIN |
8140||||||||ard ending in 3754|
8165||||||||CROSSTOWN PARTNE      |
8169||||||||JPMORGAN CHASE   |
8182||||||||Starr Property M |
8205||||||||OCWEN            |
8277||||||||ard ending in 9245|
8287||||||||CITIMORTGAGE INC |
8299||||||||Payroll          |
8338||||||||ard ending in 6281|
8353||||||||ard ending in 5212|
8363||||||||NEXTGEAR PAYMENT |
8437||||||||SMALL BUSINESS   |
8494||||||||DISCOVER         |
8506||||||||American Express |
8512||||||||MERRILL LYNCH    |
8529||||||||LA Co TTC Paymnt |
8567||||||||ROUNDPOINT       |
8582||||||||Xoom.com         |
8595||||||||BARNOBL2              |
8622||||||||FEDLOANSERVICING |
8628||||||||UNITEDHEALTHCARE      |
8639||||||||TIME INSURANCE   |
8663||||||||ard ending in 5589|
8696||||||||DISCOVER         |
8709||||||||American Express |
8744||||||||SimplexGrinn PMD      |
8750||||||||BANKCARD PAYMENT |
8761||||||||ard ending in 6699|
8801||||||||American Express |
8813||||||||American Express |
8827||||||||ADP TX/FINCL SVC |
8840||||||||ard ending in 1283|
8865||||||||ard ending in 6510|
8897|||||||| MMA ...2551 transaction#: 4|
8900||||||||  CHK ...1058 transaction#: |
8945||||||||American Express |
8953||||||||BK OF AMER VI/MC |
8958||||||||BANK OF AMERICA  |
8967||||||||American Express |
8976||||||||JPMORGAN CHASE   |
8982||||||||BK OF AMER VI/MC |
8989||||||||American Express |
9036||||||||Nationstar       |
9140||||||||JPMORGAN CHASE   |
9154||||||||DISCOVER         |
9170||||||||ard ending in 0350|
9223||||||||American Express |
9267||||||||AMERICAN NATL BK |
9314||||||||ard ending in 3384|
9339|||||||| MMA ...9279 transaction#: 4|
9393||||||||CITI CARD ONLINE |
9459||||||||ard ending in 9587|
9529||||||||AMERICANEXPRESS  |
9547||||||||TD AMERITRADE    |
9583||||||||JPMORGAN CHASE   |
9598|||||||| MMA ...9059 transaction#: 4|
9619||||||||BK OF AMER VI/MC |
9652||||||||ard ending in 8231|
9657||||||||Nationstar       |
9679||||||||IL DEPT OF REVEN |
9680||||||||CHASE            |
9717||||||||NJ017 - Avalon H |
9736||||||||cabotbay         |
9738||||||||CITI CARD ONLINE |
9741||||||||ard ending in 4369|
9761||||||||WELLS FARGO CCG  |
9766||||||||American Express |
9768||||||||ADP TX/FINCL SVC |
9796||||||||Real Page JP Mor      |
9798||||||||Dean College     |
9836||||||||PaySpot Inc      |
9842||||||||ard ending in 9811|
9850||||||||Payroll          |
9947||||||||AXA EQUITABLE    |
9954||||||||ard ending in 8345|
9960||||||||ard ending in 2001|
9969||||||||JPMORGAN CHASE   |
9973||||||||FLA DEPT REVENUE |
10010||||||||TIO NETWORKS     |
10044||||||||QUICKEN LOANS    |
10110||||||||BENEFITS EXCHANG |
10130||||||||American Express |
10150||||||||DISCOVER         |
10169||||||||MoneyGram Paymen |
10177||||||||SELECT PORTFOLIO |
10186||||||||CITI CARD ONLINE |
10188||||||||ard ending in 2452|
10234||||||||BK OF AMER VI/MC |
10238||||||||ard ending in 2466|
10239||||||||SCHWAB BROKERAGE |
10286||||||||CITI CARD ONLINE |
10287||||||||MORTGAGE PYMT -  |
10315||||||||IRS              |
10330||||||||MET LIFE INS. CO      |
10353||||||||BARCLAYCARD US   |
10355||||||||DISCOVER         |
10396||||||||ard ending in 3834|
10402||||||||JPMORGAN CHASE   |
10431||||||||ard ending in 9195|
10499||||||||ADP TX/FINCL SVC |
10502||||||||JPMORGAN CHASE   |
10508|||||||| 4971431083 To AZIZ (_#####2|
10515||||||||Bank of America  |
10521||||||||NAVI  ED SERV PP |
10533||||||||JPMORGAN CHASE   |
10544||||||||NYS TAX & FINANC |
10547||||||||CHASE            |
10549||||||||MIDWEST LOAN SER |
10562||||||||ard ending in 5721|
10582||||||||ard ending in 1403|
10615||||||||CARDMEMBER SERV  |
10622||||||||JPMORGAN CHASE   |
10627||||||||5/3 BANK EMPP    |
10650||||||||ard ending in 7987|
10678||||||||American Express |
10693|||||||| 4970296317 To Kavita Mookim|
10737||||||||THR-s4rent       |
10772||||||||WF HOME MTG      |
10842|||||||| MMA ...6716 transaction#: 4|
10854||||||||MONEYTREE #0094  |
10857||||||||MOUNTAIN WEST    |
10861||||||||MORTGAGE SERV CT |
10862||||||||CHASE            |
10872||||||||QPAY INC.        |
10898|||||||| MMA ...5372 transaction#: 4|
10975||||||||OXFORD HEALTH 2  |
10977||||||||IRS              |
10983||||||||ard ending in 5376|
10990||||||||ard ending in 2013|
11020||||||||ROCHESTER DHC291 |
11057||||||||ard ending in 2906|
11070||||||||CHASE            |
11072||||||||CHASE            |
11082||||||||CARRINGTON       |
11095||||||||Nationstar       |
11103||||||||STRYKER SALES CO      |
11115||||||||ard ending in 3670|
11116||||||||MORTGAGE PYMT -  |
11117||||||||ard ending in 7612|
11166||||||||DISCOVER         |
11183||||||||MERCH BANKCARD   |
11223||||||||CARDMEMBER SERV  |
11275||||||||Ocwen Loan Servi |
11277||||||||CONSENSYS PROPER |
11279||||||||JPMORGAN CHASE   |
11292||||||||PAYPAL           |
11352||||||||American Express |
11367||||||||BMWFINANCIAL SVS |
11385||||||||Invitation Homes |
11455||||||||Bank of America  |
11493||||||||American Express |
11503||||||||WELLS FARGO CARD |
11585||||||||REDROVAN,AMARILI |
11591||||||||American Express |
11596|||||||| MMA ...9550 transaction#: 4|
11607||||||||DISCOVER         |
11639||||||||JPMORGAN CHASE   |
11656||||||||PAYCHEX TPS           |
11663||||||||DISCOVER         |
11673||||||||INTUIT PAYROLL S |
11676||||||||AMERICAN EXPRESS |
11678||||||||CARDMEMBER SERV  |
11681|||||||| 4971682282 To COUNTRY BOY L|
11684||||||||Ocwen Loan Servi |
11733||||||||WF HOME MTG      |
11742||||||||ASC              |
11768||||||||ard ending in 4090|
11776||||||||SMALL BUSINESS   |
11791||||||||Cascades         |
11792||||||||MG Trust         |
11821||||||||MIDWEST LOAN SER |
11828||||||||JPMORGAN CHASE   |
11849||||||||BK OF AMER VI/MC |
11860||||||||ADP TX/FINCL SVC |
11863||||||||ard ending in 6727|
11903||||||||American Express |
11906|||||||| 4970863454 To 2264 (_#####0|
11928||||||||GLENWOOD         |
11935||||||||NOVELPAY PROPRTYP|
11939||||||||American Express |
11945||||||||ard ending in 7245|
11946||||||||JPMORGAN CHASE   |
11980||||||||JPMORGAN CHASE   |
12017||||||||WI DEPT REVENUE  |
12069||||||||PaySpot Inc      |
12084|||||||| PPX ...2296 transaction#: 4|
12115||||||||Mortgage Svc Ctr |
12119||||||||USAA.COM PAYMNT  |
12161||||||||USAA CHK-INTRNT  |
12174||||||||NJ WEB PMT 04110 |
12183||||||||WELLS FARGO      |
12194||||||||JPMORGAN CHASE   |
12206||||||||ard ending in 0382|
12244||||||||CHASE            |
12247||||||||WHIRLPOOL MEXICO      |
12262|||||||| 4971901384 To MXDWN.com (_#|
12283||||||||American Express |
12305||||||||ard ending in 4595|
12307||||||||POWERSECURE INC       |
12313||||||||DISCOVER BANK    |
12315||||||||AMERICAN EXPRESS |
12322||||||||62072 The Verve  |
12324||||||||ard ending in 6184|
12327||||||||Northeast Consul |
12335||||||||CAPITAL ONE      |
12341||||||||PAYPAL           |
12347||||||||ard ending in 6603|
12403||||||||IRS              |
12431||||||||Ocwen Loan Servi |
12452||||||||ard ending in 0430|
12498||||||||WF HOME MTG      |
12507|||||||| MMA ...9723 transaction#: 4|
12509||||||||PAYCHEX TPS      |
12549||||||||Fountains at Poi |
12551||||||||WF HOME MTG      |
12617||||||||CAPITAL ONE      |
12663||||||||GEICO INSURANCE       |
12717||||||||Payroll          |
12736||||||||WASHI COML LOAN  |
12747||||||||WF HOME MTG      |
12855||||||||CAPITAL ONE      |
12861||||||||JPMORGAN CHASE   |
12862||||||||IRS              |
12869||||||||NAVI ED SERV WEB |
12893||||||||MORTGAGE PYMT -  |
12925||||||||CHASE            |
12948||||||||American Express |
12969||||||||PROVIDENT FUNDIN |
12988||||||||ard ending in 4674|
13005||||||||PLANET HOME      |
13007||||||||ard ending in 1944|
13021||||||||DISCOVER         |
13047||||||||Banana Visa      |
13061||||||||PAYCHEX INC.     |
13066||||||||NEXTGEAR PAYMENT |
13083||||||||CHASEHOMEFINANCE |
13159||||||||AMERICAN EXPRESS |
13161||||||||CITI CARD ONLINE |
13164||||||||VERIZON WIRELESS      |
13174||||||||WF HOME MTG      |
13206||||||||INTUIT PAYROLL S |
13212||||||||  CHK ...6848 transaction#: |
13266||||||||BANK OF AMERICA       |
13272||||||||American Express |
13285||||||||AMPLIFIER RESEAR      |
13289||||||||CAPITAL ONE      |
13294||||||||ard ending in 8642|
13311||||||||PERSHING         |
13313||||||||CITI AUTOPAY     |
13437||||||||ard ending in 2712|
13449||||||||Ocwen Loan Servi |
