Merchant Name,Brand,Merchant Address,Merchant City,Merchant State,Detail Level,Fuel Type1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP  #2074QPS,BP OIL,2123 INTERNATIONAL S,DELAND,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #2102 QPS,BP OIL,2185 W SR 44,DELAND,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #2904 QPS,BP OIL,2095 E NEW YORK AVE,DELAND,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WB STATION LLC     QPS,BP OIL,2845 E NEW YORK AVE,DELAND,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOCA DELRAY SERVICEQPS,BP OIL,4970 W ATLANTIC AVE,DELRAY BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELRAY BP          QPS,BP OIL,725 W ATLANTIC AVE,DELRAY BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCINTOSH AMOCO     QPS,BP OIL,4810 MCINTOSH RD,DOVER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCINTOSH BP        QPS,BP OIL,12901 US HWY 92,DOVER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDEE BP          QPS,BP OIL,28200 HWY 27,DUNDEE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP # 6177QPS,BP OIL,4750 S US HIGHWAY 41,DUNNELLON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QK# 10             QPS,BP OIL,19721 W HWY 40,DUNNELLON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBRO JIFFY         QPS,BP OIL,6590 DOG TRACK RD,EBRO,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP  #2525QPS,BP OIL,1805 S RIDGEWOOD AVE,EDGEWATER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADING POST       QPS,BP OIL,3336 W INDIAN BLVD,EDGEWATER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLEWOOD BP       QPS,BP OIL,4363 ACCESS RD,ENGLEWOOD,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY BP      QPS,BP OIL,10860 MIROMAR OUTLET,ESTERO,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMILLION OIL INC   QPS,BP OIL,20260 S TAMIAMI TRL,ESTERO,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP  #2290QPS,BP OIL,19516 E SR 44,EUSTIS,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
