Merchant Name,Brand,Merchant Address,Merchant City,Merchant State,Detail Level,Fuel Type1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUBLE QUICK #24   QPS,BP OIL,1401 JACKSON AVE W,OXFORD,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #3863 QPS,BP OIL,1700 BELK AVE,OXFORD,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENDALL''S BP       QPS,BP OIL,1455 S LAMAR AVE,OXFORD,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUICK SHOP         QPS,BP OIL,505 JACKSON AVE E,OXFORD,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKY MRT DEL & GRO 1QPS,BP OIL,825 COLLEGE HILL RD,OXFORD,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334 BP             QPS,BP OIL,70 HIGHWAY 334,OXFORD,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICOT PLAZA BP    QPS,BP OIL,3505 OLD MOBILE HWY,PASCAGOULA,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76216 DICKERSON PETQPS,BP OIL,350 HWY 43 SOUTH,PELAHATCHIE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53269 PRINCE OIL COQPS,BP OIL,12650 HWY 16 W,PHILADELPHIA,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO CRSSING 10QPS,BP OIL,4850 HWY 17,PICKENS,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 49 SOUTH # 1029 QPS,BP OIL,916 HWY 49 S,RICHLAND,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASINO STRIP AMOCO QPS,BP OIL,6825 CASINO STRIP BL,ROBINSONVILLE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI LAKE BP        QPS,BP OIL,502 E LEE ST,SARDIS,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #3862 QPS,BP OIL,201 WILSON DRIVE,SENATOBIA,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENATOBIA BP       QPS,BP OIL,509 E. MAIN ST.,SENATOBIA,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCLE K 2705156   QPS,BP OIL,30 WEST GOODMAN RD,SOUTHAVEN,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHCREEK BP      QPS,BP OIL,4032 STATELINE ROAD,SOUTHAVEN,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORT STOP         QPS,BP OIL,2920 GOODMAN ROAD,SOUTHAVEN,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHAVEN BP       QPS,BP OIL,7820 HWY 51 N,SOUTHAVEN,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATELINE BP       QPS,BP OIL,781 STATELINE ROAD,SOUTHAVEN,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREWSKI''S          QPS,BP OIL,301 HIGHWAY 12 WEST,STARKVILLE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUTS BP        QPS,BP OIL,601 UNIVERSITY,STARKVILLE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACKLEY OIL CO     QPS,BP OIL,225 INDUSTRIAL PARK,STARKVILLE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48748 RACKLEY OIL CQPS,BP OIL,RUSSELL & GILLESPIE,STARKVILLE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMIT BP          QPS,BP OIL,301 LAWRENCE ST,SUMMIT,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP AMOCO SHOP #1   QPS,BP OIL,631 S. GLOSTER AVE,TUPELO,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP AMOCO SHOP #2   QPS,BP OIL,601 N GLOSTER AVE,TUPELO,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP AMOCO SHOP #4   QPS,BP OIL,2841 CLIFF GOOKIN,TUPELO,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATKINS GROCERY    QPS,BP OIL,HWY 78 & VICTORIA RD,VICTORIA,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON THE GO MARKET #3QPS,BP OIL,5820 DELTAVIEW,WALLS,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAV-N-SAK          QPS,BP OIL,5900 HWY 301 N,WALLS,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALNUT GROVE BP    QPS,BP OIL,MS HWY 35 S,WALNUT GROVE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP & WASH        QPS,BP OIL,1046 MAIN ST,WESSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEVRON 0307104,CHEVRON USA,316 HWY 145 N,ABERDEEN,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
