Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
,T-Mobile,1083,2,2,1004192,0.9981566820276497,0.9981566820276497,0.9999980083529677,0.9981566820276497
,Toasties,996,3,0,1004280,0.996996996996997,1.0,0.9999970127942024,0.9984962406015038
,TOGO'S,1000,23,0,1004256,0.9775171065493646,1.0,0.999977097997668,0.9886307464162135
,Tom Thumb,1016,4,0,1004259,0.996078431372549,1.0,0.9999960169796159,0.9980353634577603
,Tommy Bahama,994,3,0,1004282,0.9969909729187563,1.0,0.9999970128001513,0.9984932194876946
,Tommy Hilfiger,1008,0,0,1004271,1.0,1.0,1.0,1.0
,Topgolf,991,2,0,1004286,0.9979859013091642,1.0,0.9999980085393831,0.998991935483871
,Tops Markets,1028,0,0,1004251,1.0,1.0,1.0,1.0
,Tory Burch,986,0,0,1004293,1.0,1.0,1.0,1.0
,Total Wine & More,806,1,0,1004472,0.9987608426270136,1.0,0.9999990044530813,0.9993800371977681
,Toyota,1026,5,0,1004248,0.9951503394762367,1.0,0.999995021174943,0.997569275644142
,Toys 'R' Us,2056,3,0,1003220,0.9985429820301117,1.0,0.9999970096379369,0.9992709599027947
,TracFone Wireless,916,0,0,1004363,1.0,1.0,1.0,1.0
,Tractor Supply Company,1084,2,0,1004193,0.998158379373849,1.0,0.999998008354951,0.999078341013825
,Trader Joe's,1050,1,0,1004228,0.9990485252140818,1.0,0.9999990042111909,0.9995240361732509
,Transunion,1026,0,0,1004253,1.0,1.0,1.0,1.0
,Travelocity,985,1,0,1004293,0.9989858012170385,1.0,0.9999990042756404,0.9994926433282597
,Tropical Smoothie Cafe,1019,0,1,1004259,1.0,0.9990196078431373,1.0,0.9995095635115253
,TruGreen,1011,0,0,1004268,1.0,1.0,1.0,1.0
,Tuesday Morning,1014,0,0,1004265,1.0,1.0,1.0,1.0
,Turkey Hill Dairy,1030,1,0,1004248,0.9990300678952473,1.0,0.9999990042310224,0.9995147986414362
,Uber,1155,21,1,1004102,0.9821428571428571,0.9991349480968859,0.9999790862274841,0.9905660377358491
,U-Haul,1124,8,0,1004147,0.9929328621908127,1.0,0.9999920331024593,0.9964539007092198
,Ulta,1070,4,1,1004204,0.9962756052141527,0.9990662931839402,0.9999960167614678,0.9976689976689976
,Uncle Julio's,952,0,0,1004327,1.0,1.0,1.0,1.0
,Under Armour,1038,0,1,1004240,1.0,0.9990375360923965,1.0,0.9995185363505055
,Union 76,1020,1,0,1004258,0.9990205680705191,1.0,0.9999990042409378,0.9995100440960314
,Union Market,972,0,0,1004307,1.0,1.0,1.0,1.0
