factual_id	IS_PHYSICAL_TRANSACTION	DESCRIPTION	CONVERTED_AMOUNT	TRANSACTION_DATE	MEM_ID	GOOD_DESCRIPTION	BILLER_NETWORK_ID	LAST_SUCCESSFUL_REFRESH	"CONCAT(COBRAND_ID,MEM_ID)"	IS_DELETED	TRANSACTION_LIST_ID	TRANSACTION_SRC_ELEMENT_ID	ASOF_EPOCH	COBRAND_ID	SHUFFLE_ID	CARD_TRANSACTION_ID	LAST_UPDATED	SUM_INFO_ID	"CONCAT(COBRAND_ID,CARD_TRANSACTION_ID)"	POST_DATE	TRANSACTION_STATUS_ID	AMOUNT_CURR	TRANSACTION_CATEGORY_NAME	MEM_ITEM_ID	CURRENCY_CONV_RATE	"CONCAT(COBRAND_ID,ITEM_ACCOUNT_ID)"	CARD_ACCOUNT_ID	CURRENCY_ID	ASOF	TRANSACTION_CATEGORY_ID	TYPE	EXTRACT_DATE_EPOCH	ITEM_ACCOUNT_ID	KEYWORD	ACCOUNT_SRC_ELEMENT_ID	AMOUNT
02c8e5e5-1019-4a50-b655-c389052e3991	1	CVS 02423 08/16 #000228982 PURCHASE 02423--1456 E.Yos Madera CA		2014-01-01	Andy									Fake Bank		3088650747																				
02d22381-d3ae-481f-900b-f1456947f049	1	BEST WESTERN FORNEY      FORNEY       TX	90.4	2014.03.16	13180910	"Best Western International, Inc."		1395227087	1.00E+15	0		-1825289177	1395227087	10005640	15049	1266039166	1395227087	16455	1.00E+17	2014.03.16	1	152	Travel	19716322	1	1.00E+15	14884029	152	2014.03.19	23	debit	1395325300	30465870	best western	-1825289177	90.4
02d22381-d3ae-481f-900b-f1456947f049	1	BEST WESTERN FORNEY      FORNEY       TX	90.4	2014.03.16	13180910	"Best Western International, Inc."		1395227087	1.00E+15	0		-1825289177	1395227087	10005640	15049	1266039166	1395227087	16455	1.00E+17	2014.03.16	1	152	Travel	19716322	1	1.00E+15	14884029	152	2014.03.19	23	debit	1395325300	30465870	best western	-1825289177	90.4
02d53720-0025-47ba-b0ae-aacdc92c0bb7	1	CVS 5195 XXXXX      SANFORD     XXXXXXXX    DRUG STORE/PHARMACY	16.98	2014.03.17	11372635	CVS Pharmacy		1395448302	1.00E+15	0		1363585156	1395448302	10001372	13144	3089765542	1395448302	12	1.00E+17	2014.03.18	1	152	Healthcare/Medical	13848939	1	1.00E+15	11404596	152	2014.03.21	11	debit	1395506096	15720308	cvs	1363585156	16.98
02e90725-1d45-482b-9a5f-495c5be719b0	1	WAL-MART STORE#2797 27 STURBRIDGE	24.24	2014.03.19	22576477	Walmart		1395468517	1.00E+15	0		2099764894	1395462895	10006164	11801	690107992	1395462895	19267	1.00E+16	2014.03.21	1	152	General Merchandise	15450354	1	1.00E+15	3321391	152	2014.03.21	44	debit	1395514358	28712582	wal mart	2099764894	24.24
02ee4978-dbda-4455-a07e-4e3639b592b4	1	WAL-MART #3367           NORTH CHARLESSC	3.26	2014.03.18	12094660	Walmart		1395317947	1.00E+15	0		-339416397	1395309417	10005640	13037	1266849181	1395309417	16455	1.00E+17	2014.03.18	1	152	General Merchandise	17330041	1	1.00E+15	16178236	152	2014.03.20	44	debit	1395405639	35745394	wal mart	-339416397	3.26
03185015-5e52-4314-9a50-12f148029e1b	1	NEPTUNE DINER CORP NEWBURGH NY	21.63	2014.03.15	10983488			1395124987	1.00E+15	0		176626914	1395124987	10006164	13584	687364187	1395124987	19267	1.00E+16	2014.03.17	1	152	Restaurants/Dining	11078921	1	1.00E+15	79354	152	2014.03.17	22	debit	1395175153	12459664	diner	176626914	21.63
034b087d-1588-43cb-bbf2-de02b33c0379	1	FRED-MEYER #0390         TACOMA       WA	44.44	2014.03.16	13194703	Fred Meyer Stores		1395134805	1.00E+15	0		-950776001	1395134805	10005640	13298	1264114050	1395134805	16455	1.00E+17	2014.03.16	1	152	Groceries	19742751	1	1.00E+15	16111229	152	2014.03.18	10	debit	1395234187	35641742	fred-meyer	-950776001	44.44
035fe1c6-511a-4c12-a714-8b5307c65c69	1	CVS PHARMACY #1381 Q03   WARRENTON    VA	37.34	2014.03.18	12606037	CVS Pharmacy		1395413386	1.00E+15	0		1382660671	1395413386	10005640	13456	1267949168	1395413386	16455	1.00E+17	2014.03.18	1	152	Healthcare/Medical	18432883	1	1.00E+15	13873574	152	2014.03.21	11	debit	1395489976	26335921	cvs pharmacy	1382660671	37.34
03882c1e-3e05-4915-b691-eef54559966b	1	CHKCARD LEMONGRASS THAI NOODLE SAN FRANCISCO CA		2014-01-05	SF									Fake Bank		3088651010																				
